rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
70,"spotify:track:6mDcLPGVCmdhMN4gBzNb7s","1.Cuz, Greekazo, Yei Gonzalez","FÖRSENT","1.Cuz",2,66,116,"222946"
71,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",2,72,49,"219211"
72,"spotify:track:1SGweEqQ6DbMye9qAGSbq2","Joakim Berg","4","Universal Music AB",72,-1,1,"218739"
73,"spotify:track:7iSuirVvJsBXZ95UEd9vQ0","Molly Sandén","Vi ska aldrig gå hem","Milkshake",9,71,35,"218276"
74,"spotify:track:6Pqrm55DFjQZQi8jC2yBVa","23","Länge Leve Vi","Virgin Music UK LAS (S&D)",1,75,19,"217728"
75,"spotify:track:3nhGk6VnrDHy67pXvMhdPa","Sam Ryder","SPACE MAN","Parlophone UK",16,33,3,"215111"
76,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Mayfly Recordings",14,79,58,"212691"
77,"spotify:track:3i058E8uxTsYqJ5NWZzqSj","Harry Styles","Little Freak","Columbia",40,40,2,"210414"
78,"spotify:track:63IaMjanvXp9c3f0Y7OImT","Einár, ADAAM","DANSA","Einár",2,73,36,"207603"
79,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",44,81,52,"205936"
80,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",26,76,41,"205849"
81,"spotify:track:50Cf2eYv8zT3v2HAkwhIiL","Subwoolfer","Give That Wolf A Banana","Universal Music AS",15,38,3,"204561"
82,"spotify:track:0ZHViFUBdQEvfZbhZwZhPg","Joakim Berg","Mer än ingenting","Universal Music AB",82,-1,1,"203113"
83,"spotify:track:2Gd0oV24QsH0zb9nKFx7s5","Hov1, Einár","Gamora","Universal Music AB",1,77,65,"201649"
84,"spotify:track:2Rnovc1XuaXP1yc7X1AqbK","Hov1","Två steg från helvetet","Universal Music AB",2,70,14,"199636"
85,"spotify:track:5DXKvETa1xppOmd4CDxs9S","Ed Sheeran","One Life","Atlantic Records UK",85,-1,1,"197320"
86,"spotify:track:7uhQNPvfYbnt5p8AMZhncY","Joakim Berg","Rubicon","Universal Music AB",86,-1,1,"195847"
87,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,84,33,"195631"
88,"spotify:track:5KZ9BpVURYDoUNp04DBte6","LOAM","MEDVETSLÖS","Universal Music AB",9,97,40,"195019"
89,"spotify:track:0d53D9YtdbRErx5b94XNpm","Tjuvjakt","Skål","Universal Music AB",89,-1,1,"193945"
90,"spotify:track:5LYMamLv12UPbemOaTPyeV","Harry Styles","Music For a Sushi Restaurant","Columbia",36,36,2,"192884"
91,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",91,140,2,"192626"
92,"spotify:track:4x79VTxsny238G39AweIq0","C.Gambino","GANGSTA (Intro)","GG Music",92,135,19,"192379"
93,"spotify:track:7MzmBmyI9KkyQJaPNLdtUi","Veronica Maggio","17 år","Universal Music AB",82,82,25,"190395"
94,"spotify:track:4SS4YfDAEQG0fZAe1xfgn3","Victor Leksell","Svag","Columbia",1,95,124,"189453"
95,"spotify:track:5etlUg6yiQ8565mdyrWUiP","Victor Leksell","Eld & lågor","Sony Music Local",4,83,40,"189159"
96,"spotify:track:0IgvbLS4DCkEe7DaaB0azl","LOAM","FUCK MITT EKS","Universal Music AB",12,92,21,"188754"
97,"spotify:track:2USlegnFJLrVLpoVfPimKB","Gabry Ponte, LUM!X, Prezioso","Thunder","Spinnin' Records",7,89,48,"188512"
98,"spotify:track:4GK4mydvnsodLEHWb4zJV4","Mares","Sunnanvind","Tjooff",5,107,107,"185415"
99,"spotify:track:5IZGN81VVgBv1lPrjXzOD6","Miriam Bryant, Victor Leksell","tystnar i luren","WM Sweden",1,93,68,"183027"
100,"spotify:track:1IN8Lfkdh4t3BBIKNqwBDC","Johanna Nordström","Bleeding","1KEEA",100,-1,1,"181767"
101,"spotify:track:71CFZjdSm2WSh5S6TPd69A","Veronica Maggio, Håkan Hellström","Hela huset","Universal Music AB",78,86,36,"181513"
102,"spotify:track:3oF1ZBHm7qDn3bOxIrDEjy","ADAAM, VC Barre","TOPP","Grind Gang Music",2,105,40,"181181"
103,"spotify:track:3dA1lU0x8Hm2MlCqz3w7cH","Asme","Bacardi","BL",18,74,5,"180615"
104,"spotify:track:6x5RzkzGxbLnpXw3ySyJOx","Petter, Veronica Maggio","Längesen (feat. Veronica Maggio) - Kyaal Remix","Baba Recordings",2,87,19,"179730"
105,"spotify:track:7zKTQhQPCGnh2PgP93Pxsu","Miss Li","Instruktionsboken","Pistol Packin' Music",18,78,58,"178790"
106,"spotify:track:1aEU7mcRDTYBB4ASpqbjYE","Hov1","Hon dansar vidare i livet","Universal Music AB",1,94,184,"178600"
107,"spotify:track:1c2hJSwcCfoPEw1su83Sw0","Lady Gaga","Hold My Hand","Interscope Records",69,128,4,"176288"
108,"spotify:track:5M2y8QdDepGYMsWyxhoxQU","Veronica Maggio","Jag kommer","Universal Music AB",80,102,51,"175284"
109,"spotify:track:4O1FGUf2xndvsmtMQtHZNp","Anders Bagge","Bigger Than The Universe","WM Sweden",2,85,14,"172187"
110,"spotify:track:3SjXx3rbNGk8nCho8YEoz5","Håkan Hellström","Det kommer aldrig va över för mig","UMG Recordings, Inc.",71,90,81,"171299"
111,"spotify:track:51Zw1cKDgkad0CXv23HCMU","Harry Styles","Daylight","Columbia",54,54,2,"170778"
112,"spotify:track:6sjGsKuInpaK3uoaWGe22W","Oskar Linnros","Från och med Du","Universal Music AB",79,108,92,"169412"
113,"spotify:track:12fYEY6L7M2k7qFWgMEwXn","Theoz","Som du vill","WM Sweden",6,99,17,"166978"
114,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",74,114,22,"166718"
115,"spotify:track:5cKilVQ9iZamOzodVcYQZ2","23","Trapper Of The Year (Intro) - Bonus Track","Paid in Full Records",14,129,28,"166394"
116,"spotify:track:5RUDslCh5maxKZ7a7QyCTk","C.Gambino","Regler (Båset)","GG MUSIC",11,104,12,"163162"
117,"spotify:track:0zqBZqm5czQ3A4EoSdKFHj","Alan Walker, Benjamin Ingrosso","Man On The Moon","MER Recordings",11,98,27,"162952"
118,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,113,131,"161854"
119,"spotify:track:02g6wZQZ0cByIqVgjSHBzy","25","F*CK MINA OPPS","GRIND GANG MUSIC",13,101,13,"161563"
120,"spotify:track:4SLYrBfzgbLmiEdoKajyHL","Thomas Stenström","Ser du månen där du är ikväll? (Tillsammans igen)","Korpstaden Produktion",3,110,78,"160325"
121,"spotify:track:5DkUy1ShgRHv44mXxwe6zM","Melissa Horn","Lämna honom","Columbia",3,117,31,"160111"
122,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",68,111,7,"159066"
123,"spotify:track:1F3NBThWyr845YUwpm5n1F","Cazzi Opeia","I Can't Get Enough","EKKO Music Rights Europe",5,100,15,"158783"
124,"spotify:track:7rZ3Gqfwh5SuM5tvHK1eAq","Rymdpojken","Karlavagnen","Roxy Recordings",92,119,16,"158332"
125,"spotify:track:6PEk3WWhhxbQQwQVVbGB0f","Sandro Cavazza","The Days","Universal Music AB",61,116,13,"157743"
126,"spotify:track:0H8Tclo4x4kbZruQtZFNSX","NEIKED, Anne-Marie, Latto","I Just Called","Atlantic Records UK",126,-1,1,"156275"
127,"spotify:track:6gI9b2VsoWhjhIuIeToDVs","Kendrick Lamar, Blxst, Amanda Reifer","Die Hard","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",26,61,3,"155527"
128,"spotify:track:4RAR8g8fZNB106ezUurnE0","Kygo, DNCE","Dancing Feet (feat. DNCE)","Kygo/RCA Records",33,118,14,"155096"
129,"spotify:track:3h9gue3M30OFKEEBKJXRjE","Myra Granberg","Du förtjänar det","Columbia",55,96,3,"154938"
130,"spotify:track:1gnCpBKizZd2w23fb0eOS2","VC Barre, 23","Internet - Spotify Studio 100 Recording","Grind Gang Music",4,134,16,"153051"
131,"spotify:track:0OrfAaTvJgdk0xwi2EJUjh","Sickan","SÖDER OM 08","Sickan",116,131,8,"153049"
132,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",18,122,31,"153011"
133,"spotify:track:1WCEAGGRD066z2Q89ObXTq","David Guetta, Becky Hill, Ella Henderson","Crazy What Love Can Do","Parlophone UK",57,126,8,"151923"
134,"spotify:track:0FlfVeOFogL3cU4AO8xNc4","Miriam Bryant, Thomas Stenström","Gråter om du vill","WM Sweden",2,112,20,"151503"
135,"spotify:track:7ahokyY6O0NK0PnpFBxUHM","Petter, Benjamin Ingrosso","Komma över dig (feat. Benjamin Ingrosso)","Baba Recordings",24,91,4,"151455"
136,"spotify:track:7nLMZKhfkFZLr9rz4VyOpF","Den svenska björnstammen","Vart jag mig i världen vänder","Våra inspelningar",78,132,32,"151449"
137,"spotify:track:7uiGgzShu2Hz9iMg1Cgvpk","lovad","Vågar","TGR Music Group",67,109,9,"149786"
138,"spotify:track:3fd8cxZvehZNFD8KUri30T","Bolaget","Dum","Valley Music Dalapop",18,-1,35,"149373"
139,"spotify:track:1mw0RgNXIpYRyyCdBQbLgA","Harry Styles","Love Of My Life","Columbia",55,55,2,"148586"
140,"spotify:track:4BEjyZGERmOFkZOSIgdoAn","Owen","Love N Affection","Owen",37,115,5,"148342"
141,"spotify:track:0nrRP2bk19rLc0orkWPQk2","Avicii","Wake Me Up","Universal Music AB",2,133,226,"148265"
142,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",5,127,29,"147937"
143,"spotify:track:4j6kId9QIqhoXvqHKgSKa0","Harry Styles","Grapejuice","Columbia",50,50,2,"147794"
144,"spotify:track:2rSepHuehHlcKCN0P4Zafb","Reyn","Om du lämnar","R.V.R.P under exclusive license to Amuseio AB",121,145,20,"147630"
145,"spotify:track:0rzaRSujxA0bKyjJl6vHYq","Harry Styles","Satellite","Columbia",51,51,2,"146794"
146,"spotify:track:1TFlvQ12TtF9nHmvXCaLpx","Kartellen, Sebbe Staxx, Dani M","Mina områden","Soblue Music Group AB",62,120,55,"145736"
147,"spotify:track:2XajET1AbW1AYBgTVJvDo3","Mares","95","Hybris",98,136,56,"145550"
148,"spotify:track:5WCksBebNJWqdsDQnHHf71","Donzo x Mitchi","Club Banger","Donzo x Mitchi",148,-1,1,"144621"
149,"spotify:track:1r8ZCjfrQxoy2wVaBUbpwg","The Kid LAROI","Thousand Miles","Columbia",16,125,6,"144195"
150,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",2,138,55,"144179"
151,"spotify:track:0KQRhak4Irr2CKxgQ9U6ay","Madeline The Person","MEAN!","Warner Records",61,106,4,"143170"
152,"spotify:track:4WBnZi0v3HRYDFVONZaAjw","Asme","Poppis","BL",3,123,16,"142770"
153,"spotify:track:5YIMEJOJYmHaeZ0x4qAZjI","Hov1","Barn av vår tid","Universal Music AB",1,139,70,"141530"
154,"spotify:track:5Pr2zJZEXPE7PIMxsAiJfG","Nineb Youk","Gatubarn","Fellas Record",154,-1,1,"141466"
155,"spotify:track:0lwJH1BDr8Z4wfXvi6yC9y","Ted Gärdestad","Sol, vind och vatten","Universal Music AB",23,157,54,"140546"
156,"spotify:track:2FeBslNBMdR9V58uv6hd2t","Kendrick Lamar","N95","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",25,65,3,"140056"
157,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",7,144,45,"139142"
158,"spotify:track:5q4MzJdq5teCsJ4xE6jviK","HAVAL, Manny Flaco","BANDOL","HAVAL MUSIC",8,149,10,"138920"
159,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",70,151,33,"138664"
160,"spotify:track:10pQM8gBw9gpzDJz05jlHQ","Mares","Notre-Dame","A collaboration between Tjooff and The Satchi Six",79,146,8,"138410"
161,"spotify:track:6qj02zSeEJGWZ4c0dn5QzJ","Harry Styles","Boyfriends","Columbia",47,47,2,"138229"
162,"spotify:track:18asYwWugKjjsihZ0YvRxO","Tiësto, Ava Max","The Motto","Atlantic Records",27,153,30,"138077"
163,"spotify:track:1CuVhIZAAc8h360WoVJYhD","Hanna Ferm","För Evigt","Universal Music AB",9,141,58,"135451"
164,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",95,159,29,"135297"
165,"spotify:track:4VtRHZ4tBDHaWltVAytlLY","Cat Burns","go","Since 93",70,143,17,"134922"
166,"spotify:track:6t0YIui8b5Jt8oUVOrmujk","Yasin","Young & Heartless","MadeNiggaMusic",2,124,106,"134786"
167,"spotify:track:4btFHqumCO31GksfuBLLv3","Ed Sheeran","Overpass Graffiti","Atlantic Records UK",18,154,26,"134586"
168,"spotify:track:5THQw2QDTWwOP1Hj543Rb2","Roxette, Galantis","Fading Like A Flower","WM Sweden",95,175,6,"133273"
