rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
116,"spotify:track:0T4t1PywlNmJGcveGH5spB","Marcell","Takkan Terganti","E-Motion Entertainment",86,109,189,"428035"
117,"spotify:track:3uzbpsQAHeRFrdJyNPQ0Kg","Andmesh","Bisa Tanpamu","Hits records",111,111,20,"426339"
118,"spotify:track:6a1whVolhtgOTmxPYBLJDz","Rizky Febian","Salah","Le Moesiek Revole",59,115,12,"424980"
119,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",77,104,16,"422234"
120,"spotify:track:42si4ikg5dh732gPuQ0xHb","Diskoria, Laleilmanino, Eva Celia","C.H.R.I.S.Y.E.","Suara Disko",24,105,72,"421998"
121,"spotify:track:0XPMxzPKfEh4JkucEkJ6VF","Dere","Berisik","Tiga Dua Satu",94,117,13,"420834"
122,"spotify:track:6HGcSuP89aoRvqLIAjcT8B","Kaleb J","Now I Know","Passion Vibe",10,113,42,"418489"
123,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",8,116,55,"417877"
124,"spotify:track:51lPx6ZCSalL2kvSrDUyJc","John Mayer","You're Gonna Live Forever in Me","Columbia",29,121,43,"414982"
125,"spotify:track:2sULdMKWdBdK2ZtntuFvSb","Daun Jatuh","Resah Jadi Luka","WM Indonesia",13,131,79,"413880"
126,"spotify:track:4dtmj7X21gunWoQf98hW5L","Aisha Retno","W.H.U.T","Sony Music Entertainment",15,119,25,"412183"
127,"spotify:track:7cjojsJwncbiCI0rqOOf9j","NCT DREAM","To My First","SM Entertainment",127,-1,1,"412105"
128,"spotify:track:0nXXgjpcisM0bheuDZHAub","Tulus","Sewindu","TulusCompany",78,137,61,"410818"
129,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",9,114,44,"408294"
130,"spotify:track:7Df6aulkKFTjt1s84joBQW","Arsy Widianto, Tiara Andini","Bahaya","PT. Universal Music Indonesia",7,122,50,"407143"
131,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, dazy","Sunroof","Thirty Knots/Columbia",130,130,4,"406019"
132,"spotify:track:1X80KdFJpedU4as4WGIgYM","Element","Rahasia Hati","LMN records",132,150,18,"405065"
133,"spotify:track:2j1Es5qEl4pD8GEe2WsYgP","SEVENTEEN","Darl+ing","PLEDIS Entertainment",71,-1,5,"402210"
134,"spotify:track:3Vf3i1BbgpfJ0UCCkM24M2","Sammy Simorangkir","Tak Mampu Pergi","Pro-M (PT Profesional Music)",134,145,30,"401292"
135,"spotify:track:4HBZA5flZLE435QTztThqH","Ariana Grande, Justin Bieber","Stuck with U (with Justin Bieber)","Ariana Grande & Justin Bieber ""Stuck With U""- Charity",2,125,108,"401280"
136,"spotify:track:77vx7sGjdqwdnQL968t8oY","Pamungkas","Monolog","Mas Pam Record",19,128,126,"396932"
137,"spotify:track:6bE0o9hYUPYlokZIH79oM0","Ari Lasso","Hampa","PT Aquarius Musikindo",78,136,177,"396708"
138,"spotify:track:161DnLWsx1i3u1JT05lzqU","Bruno Mars","Talking to the Moon","Atlantic Records",14,132,64,"394731"
139,"spotify:track:4reIsHKw5hUj4pV8zzMjLA","TheOvertunes","I Still Love You","Sony Music Entertainment",36,143,184,"391402"
140,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",16,142,26,"390040"
141,"spotify:track:5F1ZmucV0uJY14y2dYKePa","Joji","Sanctuary","88rising Music/Warner Records",26,126,53,"388670"
142,"spotify:track:1SaQZoFXNu7ZAxxKImzFgf","Hivi!","Remaja","Seven Music",21,134,235,"387455"
143,"spotify:track:6MczIMSdoZyw8EBPhihazN","Andmesh","Jangan Rubah Takdirku","Hits records",53,148,156,"383340"
144,"spotify:track:2MJz8BxxMsERULatmBikDH","Pink Sweat$","At My Worst","Atlantic Records",1,146,81,"379883"
145,"spotify:track:5TReP8XK4aTOe2m44ZjQqz","Tulus","Tujuh Belas","TulusCompany",11,127,13,"375436"
146,"spotify:track:22Nd3GuO7sHopPjdKccRcq","mrld","An Art Gallery Could Never Be As Unique As You","O/C Records",145,147,15,"375060"
147,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",4,-1,37,"373165"
148,"spotify:track:2QB8FwOszur18Ai7t2XnNi","Reality Club","Anything You Want","Dominion Records",118,118,2,"373105"
149,"spotify:track:5QJANaK8ZlzI8ftloDM0We","Jourdy Pranata","Hujan","Sinemakupictures",49,106,15,"371264"
150,"spotify:track:6SE4JAo7T8C7XkFka5bbga","Los Retros","Someone To Spend Time With","Stones Throw Records",87,135,7,"368273"
151,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",2,141,36,"368251"
152,"spotify:track:6PqWdGIYq5xdLaa4zCZfRp","Tulus","Jatuh Suka","TulusCompany",22,133,13,"367640"
153,"spotify:track:0SeBJ2sAl8CV58kBfpd5va","Dere","Kota","Tiga Dua Satu",17,159,68,"367559"
154,"spotify:track:5eF8Hn5AHY4qT3aZsVYAzO","Hivi!","Mata Ke Hati (Acoustic Version)","Seven Music",21,158,129,"367241"
155,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",4,138,27,"365801"
156,"spotify:track:2IAR0DziHCjSu16gR4ihvy","Bruno Major","Nothing","Bruno Major",56,151,30,"365318"
157,"spotify:track:7IRi1d3Nsrww8mnGv1YW4l","raissa anggiani","Kau Rumahku","Alfarecords",111,162,13,"364458"
158,"spotify:track:7CB8epyUjN9ZbVHTU712ti","Yahya","keepyousafe","Yahya",27,164,59,"362458"
159,"spotify:track:66SBpMfdxpe7B2UF0hq4DR","Hal","L","Netrilis Music",152,152,6,"359319"
160,"spotify:track:2E532ozrMbRXwuZkpoegUP","Skinnyfabs","happy","Marshal XP",12,166,152,"356155"
161,"spotify:track:0GDxF5uQIqaKhc7qTDlqXZ","Mahalini, Nuca","Janji Kita","Hits records",136,149,8,"354621"
162,"spotify:track:4oSmLeQkMd2kN4BzBLWAZS","Tulus","Ingkar","TulusCompany",14,139,15,"354087"
163,"spotify:track:1FvewPpBHE9U86rBaYauR1","Andmesh","Senyumlah","Hits records",163,178,11,"353434"
164,"spotify:track:4HXUMRdT6s6Am6YHcWmuib","Yura Yunita, Glenn Fredly","Cinta Dan Rahasia","Musik Bagus",47,156,277,"349748"
165,"spotify:track:4YuzrUzwpTR8aRqLqepiFo","Tri Suaka","Aku Bukan Jodohnya","MSI Record",17,144,30,"346508"
166,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",138,161,4,"344678"
167,"spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp","Giveon","Heartbreak Anniversary","Epic/Not So Fast",1,170,74,"343787"
168,"spotify:track:0y60itmpH0aPKsFiGxmtnh","WILLOW","Wait a Minute!","Roc Nation W Smith P&D",101,129,7,"343397"
169,"spotify:track:1O2pZvuJQrSY9gBLIbZCYG","raissa anggiani","Losing Us.","Alfa Records",169,176,7,"343018"
170,"spotify:track:2X3SjXtga1hRUopyX7IDWO","Rossa","Masih","Inspire Music",170,189,2,"342952"
171,"spotify:track:0IGUXY4JbK18bu9oD4mPIm","(G)I-DLE","TOMBOY","Cube Entertainment",80,155,11,"342520"
172,"spotify:track:5btJjUxmhPK1cwdw0mnhRD","SECRET NUMBER","Love, Maybe","FLEX M",117,157,8,"342076"
173,"spotify:track:2rXVtoLBHuXcNB5DVfIc9p","Rex Orange County","Happiness","Rex Orange County",103,165,20,"341254"
174,"spotify:track:2bnJ8IxZnVc2YmUaX0sZap","TREASURE","JIKJIN","YG Entertainment",35,160,16,"341033"
175,"spotify:track:0kn2gu8Pd03DiYHzRvX2Xk","Conan Gray","Wish You Were Sober","Republic Records",112,112,3,"340518"
176,"spotify:track:4EWBhKf1fOFnyMtUzACXEc","Rex Orange County","Pluto Projector","Rex Orange County",90,154,57,"338943"
177,"spotify:track:6NboFmEGgwlzpVG7dFfJUV","Denny Caknan, Guyon Waton","Widodari","Denny Caknan",100,175,18,"337091"
178,"spotify:track:1dmi9lVthTKjuemmO8ucWm","TAEYONG, Wonstein","Love Theory","SM Entertainment",105,168,6,"336108"
179,"spotify:track:0U1W2LZVUX7qTm7dDpqxh6","Shawn Mendes","When You're Gone","Shawn Mendes LP4-5 PS/ Island",108,163,8,"335837"
180,"spotify:track:4aT6vP9y2eDjxmRGm5ZqSC","HONNE, BEKA","Location Unknown ◐ (feat. BEKA) - Brooklyn Session","Atlantic Records UK",2,191,141,"329299"
181,"spotify:track:3LhUsgwtftfxHIPgViaYxB","TheOvertunes","Sayap Pelindungmu","Sony Music Entertainment",138,180,69,"328941"
182,"spotify:track:1RMJOxR6GRPsBHL8qeC2ux","Daniel Caesar, H.E.R.","Best Part (feat. H.E.R.)","Golden Child Recordings",5,-1,237,"327813"
183,"spotify:track:2RHm5IDIZ8fYRGzBIo7exV","Juicy Luicy","Tampar","E-Motion Entertainment",140,140,3,"327652"
184,"spotify:track:0pDmW5AOpl1Wi58Ob0xXB8","Tulus","Labirin","TulusCompany",7,185,117,"325651"
185,"spotify:track:3sqrvkNC6IPTIXvvbx9Arw","Taylor Swift","Enchanted","Big Machine Records, LLC",99,177,27,"324436"
186,"spotify:track:3LCwQoTrdQgHsGJE5gGVqx","GOT the beat","Step Back","SM Entertainment",23,171,22,"323612"
187,"spotify:track:0qjuyXWrksQxIRntqz9ZJV","Yovie & Nuno","Tanpa Cinta","Sony Music Entertainment",174,179,17,"322608"
188,"spotify:track:2P91MQbaiQOfbiz9VqhqKQ","Lauv","I Like Me Better","Lauv",19,-1,253,"319936"
189,"spotify:track:5o6StwqqVfG3vRLx8UP310","Virgoun","Surat Cinta Untuk Starla","dr.m",85,-1,20,"318587"
190,"spotify:track:5vjLSffimiIP26QG5WcN2K","Chord Overstreet","Hold On","Safehouse Records / Island Records",107,169,9,"317317"
191,"spotify:track:332GJ8ykVuEt3jOT1sy7j6","NCT DREAM","Hello Future","SM Entertainment",21,190,27,"317112"
192,"spotify:track:7F2ijw5T6imuq38wjLOuec","Vierra","Perih","Musica Studios",192,-1,1,"315122"
193,"spotify:track:4rMNgxEwGWoPHIUcvB5BrB","Bruno Mars","It Will Rain","Chop Shop/Atlantic",4,195,67,"314435"
194,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","Justin Bieber","Love Yourself","RBMG/Def Jam",72,174,60,"313561"
195,"spotify:track:47SkuKc4Po0JInI0JTtO61","Hanin Dhiya, Ahmad Dhani","Roman Picisan","WM Indonesia",19,167,24,"313272"
196,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",76,181,56,"311566"
197,"spotify:track:1CAksvEO6oRHd9bBKWAfuY","Ariana Grande","One Last Time","Universal Records",160,-1,11,"310914"
198,"spotify:track:3LmIuk8h3S0DSZ9gtnVuaP","Vierra","Rasa Ini","Musica Studios",198,-1,1,"308672"
199,"spotify:track:21TcDbGosp7w9YhTjOszgA","Shawn Mendes","Imagination","Island Records",162,173,25,"306005"
200,"spotify:track:1mWdTewIgB3gtBM3TOSFhB","BTS","Butter","BIGHIT MUSIC",1,192,54,"304900"
