rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
169,"spotify:track:6mmPpaltUZK7xjNlBPQQ0p","Rauw Alejandro, Chencho Corleone","Desesperados","Sony Music Latin/Duars Entertainment",98,171,18,"48848"
170,"spotify:track:19gFXFDAFUdsuaiAorKEbr","FRANKIEONTHEGUITAR, T-Rex, LON3R JOHNY, Bispo","Tempo","FRANKIEONTHEGUITAR",4,177,118,"48765"
171,"spotify:track:7mFj0LlWtEJaEigguaWqYh","Megan Thee Stallion, Dua Lipa","Sweetest Pie","300 Entertainment",86,-1,4,"48520"
172,"spotify:track:0A0NJtd7yYuegBrj6qvqSo","Julinho Ksd","Stunka","Julinho KSD",8,172,55,"48465"
173,"spotify:track:2mlsK27VNUj8y08BvtIbXu","Jovem Dionisio","Pontos de Exclamação","Sony Music Entertainment",173,175,2,"48302"
174,"spotify:track:0WmSoWksyfhCME62WhkP2U","Domingues","Romance de Cinema","Goodfellas Goodmusic, Unipessoal, Lda.",13,166,80,"48288"
175,"spotify:track:0bvLxd9bUAYGKkpMYdR60F","DJ JOAO DA INESTAN, Mc J Mito, Dj Tg Da Inestan","Mal Caminho","DjJoaoDaInestan",175,197,4,"48245"
176,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",4,170,90,"48035"
177,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",131,165,32,"47952"
178,"spotify:track:6xvaSd27eSA5kQlFRYhWZF","J Balvin, Khalid","Otra Noche Sin Ti","Sueños Globales, LLC",7,179,60,"47647"
179,"spotify:track:5VTjBl3ddZEiG2LrH4VzyR","Zé Felipe, Mc Danny","Toma Toma Vapo Vapo","Som Livre",21,162,28,"47055"
180,"spotify:track:2tsXCHNbktRlQxMUV7ql3d","Bispo, Ivandro","Essa Saia","Sony Music Entertainment",1,174,140,"46857"
181,"spotify:track:38EnNqW16JfwQMmKzxX1yc","Diogo Piçarra, Bispo","Monarquia","Universal Music Portugal SA",4,167,59,"46377"
182,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",12,176,60,"46213"
183,"spotify:track:0z8hI3OPS8ADPWtoCjjLl6","Shawn Mendes, Tainy","Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes LP4-5 PS/ Island",76,192,30,"46206"
184,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",184,-1,1,"46200"
185,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",154,186,49,"46145"
186,"spotify:track:4CleTVckv87HCeEpj05X52","Calema, Soraia Ramos, Pérola, Manecas Costa","Kua Buaru","Klasszik",123,173,25,"46083"
187,"spotify:track:00Blm7zeNqgYLPtW6zg8cj","Post Malone, The Weeknd","One Right Now (with The Weeknd)","Republic Records",36,193,30,"45778"
188,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",181,-1,3,"45627"
189,"spotify:track:0qYW2jULeN9giEty0ee9Fy","MC Rogerinho","Botadinha Saliente","MC Rogerinho Oficial",69,182,15,"45304"
190,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",159,196,24,"45303"
191,"spotify:track:7IYnUFKOoVMFr3tJgbUSPm","DJ Alex BNH, Mc Koruja, Maax Deejay","Cachaça, Pinga e Puta","GMusic",191,-1,1,"45210"
192,"spotify:track:0ct6r3EGTcMLPtrXHDvVjc","Avicii","The Nights","Universal Music AB",53,191,64,"45073"
193,"spotify:track:2mL37yB3f3Lfy4iiXV02Qf","Farruko, Victor Cardenas, Dj Adoni","El Incomprendido","Sony Music Latin",185,187,5,"44987"
194,"spotify:track:1K8AtBJXcdq5mywMnZuARP","Gusttavo Lima","Termina Comigo Antes","Sony Music Entertainment",158,185,6,"44909"
195,"spotify:track:72ecBkW6t3u3N3cdpZLX3L","Carolina Deslandes","Paz","Carolina Deslandes",195,-1,1,"44707"
196,"spotify:track:2xebCnKCjYWBhJ4Ai8hO5E","Mc Davi, Mc Kevin, Mc Don Juan, MC Hariel, MC Marks, MC G15, Mc Phe Cachorrera, Gaab, MC Menor da VG, MC Ryan SP, MC Kapela","Set dos Casados","GR6 Music",72,169,23,"44700"
197,"spotify:track:13Rf6RaZT13TW4xLQR3MQr","Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter","Poesia Acústica #6: Era uma Vez","Pineapple StormTV",197,-1,2,"44687"
198,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",8,189,80,"44663"
199,"spotify:track:5ljLYEJZRLjtrZt1DXtT8B","MC Josh","Eu Fiquei Com a Puta","Funk Explode Records",174,190,9,"44460"
200,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",200,-1,1,"44268"
